settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_CGTHW-1,CGTHW-1,,,,unmapped,48,4,44,0.0,158.75,2.0,156.75,0.0,0.0,156.75,0.0,1.234,partially_blocked,physical_below_generation
2024-10-03,T_RRWW-1,RRWW-1,,,,unmapped,48,26,22,0.0,272.0,115.5,156.5,0.0,0.0,143.5,13.0,65.101,partially_blocked,physical_below_generation
2024-10-03,T_RREW-1,RREW-1,,,,unmapped,48,25,23,0.0,263.5,109.5,154.0,0.0,0.0,135.0,19.0,58.889,partially_blocked,physical_below_generation
2024-10-03,T_STLGW-3,STLGW-3,,,,unmapped,48,0,48,0.0,148.44166666666666,0.0,148.44166666666666,0.0,0.0,148.44166666666666,0.0,0.0,fully_blocked,physical_below_generation
2024-10-03,T_DRSLW-1,DRSLW-1,,,,unmapped,48,25,23,0.0,262.0,114.0,148.0,0.0,0.0,148.0,0.0,48.42,partially_blocked,physical_below_generation
2024-10-03,T_MKHLW-1,MKHLW-1,,,,unmapped,48,22,26,0.0,284.5,148.0,136.5,0.0,0.0,136.5,0.0,38.77,partially_blocked,physical_below_generation
2024-10-03,T_KENNW-1,KENNW-1,,,,unmapped,48,28,20,0.0,247.25,113.5,133.75,0.0,0.0,133.75,0.0,42.265,partially_blocked,physical_below_generation
2024-10-03,T_SANQW-1,SANQW-1,,,,unmapped,48,12,36,0.0,163.0,42.25,120.75,0.0,0.0,120.75,0.0,4.043999999999999,partially_blocked,physical_below_generation
2024-10-03,T_DUNGW-1,DUNGW-1,,,,unmapped,48,8,40,0.0,156.34166666666664,41.0,115.34166666666665,0.0,0.0,115.34166666666665,0.0,12.33,partially_blocked,physical_below_generation
2024-10-03,E_BURBO,BURBW-1,,,,unmapped,48,27,21,0.0,251.25,136.0,115.25,0.0,0.0,115.25,0.0,35.807,partially_blocked,physical_below_generation
